date,Real Middle Band,Real Lower Band,Real Upper Band
2018-03-21 14:10,93.636,93.3754,93.8966
2018-03-21 14:11,93.637,93.3753,93.8987
2018-03-21 14:12,93.639,93.3721,93.9059
2018-03-21 14:13,93.661,93.3812,93.9408
2018-03-21 14:14,93.7,93.5103,93.8897
2018-03-21 14:15,93.72,93.5625,93.8775
2018-03-21 14:16,93.737,93.6099,93.8641
2018-03-21 14:17,93.7775,93.6323,93.9226
2018-03-21 14:18,93.7885,93.6368,93.9402
2018-03-21 14:19,93.8071,93.6434,93.9708
2018-03-21 14:20,93.8131,93.6524,93.9738
2018-03-21 14:21,93.8201,93.6724,93.9678
2018-03-21 14:22,93.8051,93.6321,93.9781
2018-03-21 14:23,93.7831,93.5635,94.0027
2018-03-21 14:24,93.7711,93.5312,94.011
2018-03-21 14:25,93.7477,93.4593,94.0361
2018-03-21 14:26,93.7152,93.3679,94.0624
2018-03-21 14:27,93.6597,93.3189,94.0005
2018-03-21 14:28,93.6067,93.2429,93.9705
2018-03-21 14:29,93.5431,93.1959,93.8902
2018-03-21 14:30,93.4991,93.1946,93.8036
2018-03-21 14:31,93.4451,93.1688,93.7214
2018-03-21 14:32,93.4031,93.1496,93.6566
2018-03-21 14:33,93.3591,93.0913,93.6268
2018-03-21 14:34,93.3206,93.1092,93.5319
2018-03-21 14:35,93.291,93.1111,93.471
2018-03-21 14:36,93.2495,93.0261,93.4729
2018-03-21 14:37,93.2025,92.9469,93.4581
2018-03-21 14:38,93.167,92.8941,93.4399
2018-03-21 14:39,93.137,92.8546,93.4194
2018-03-21 14:40,93.082,92.7961,93.3679
2018-03-21 14:41,93.045,92.7548,93.3352
2018-03-21 14:42,92.997,92.6996,93.2944
2018-03-21 14:43,92.955,92.6326,93.2774
2018-03-21 14:44,92.9125,92.6409,93.1841
2018-03-21 14:45,92.8825,92.6961,93.0689
2018-03-21 14:46,92.8672,92.7011,93.0332
2018-03-21 14:47,92.8522,92.6918,93.0126
2018-03-21 14:48,92.8337,92.6927,92.9746
2018-03-21 14:49,92.7978,92.6421,92.9534
2018-03-21 14:50,92.7678,92.5466,92.9889
2018-03-21 14:51,92.7218,92.426,93.0175
2018-03-21 14:52,92.6688,92.2587,93.0788
2018-03-21 14:53,92.6338,92.1889,93.0786
2018-03-21 14:54,92.5998,92.1621,93.0374
2018-03-21 14:55,92.5548,92.1639,92.9456
2018-03-21 14:56,92.5156,92.1788,92.8524
2018-03-21 14:57,92.4816,92.2029,92.7603
2018-03-21 14:58,92.4556,92.261,92.6502
2018-03-21 14:59,92.4345,92.2734,92.5956
2018-03-21 15:00,92.4355,92.2719,92.5991
2018-03-21 15:01,92.4675,92.2285,92.7065
2018-03-21 15:02,92.5165,92.2833,92.7497
2018-03-21 15:03,92.5415,92.3234,92.7596
2018-03-21 15:04,92.568,92.3278,92.8082
2018-03-21 15:05,92.593,92.351,92.835
2018-03-21 15:06,92.616,92.3835,92.8486
2018-03-21 15:07,92.628,92.4176,92.8385
2018-03-21 15:08,92.6415,92.4408,92.8422
2018-03-21 15:09,92.6725,92.5404,92.8046
2018-03-21 15:10,92.7005,92.5741,92.827
2018-03-21 15:11,92.7005,92.5741,92.827
2018-03-21 15:12,92.7075,92.5682,92.8468
2018-03-21 15:13,92.7295,92.5832,92.8759
2018-03-21 15:14,92.75,92.5565,92.9435
2018-03-21 15:15,92.792,92.4962,93.0878
2018-03-21 15:16,92.8315,92.4953,93.1677
2018-03-21 15:17,92.8865,92.5529,93.2201
2018-03-21 15:18,92.9255,92.6142,93.2368
2018-03-21 15:19,92.9605,92.6716,93.2494
2018-03-21 15:20,92.9915,92.703,93.28
2018-03-21 15:21,93.0355,92.7887,93.2823
2018-03-21 15:22,93.0645,92.8734,93.2556
